text,label,label_confidence
"['frataxin', 'interacts', 'fes', 'cluster', 'biosynthesis', 'components', 'remains', 'unclear', 'direct', 'onetoone', 'interactions', 'component', 'reported', 'iscs', '1222', 'iscuisu1', '61116', 'isd11isd11', '1415', '.']",background,1.0
"['study', 'hickey', 'et', 'al', '.', '2012', 'spikes', 'sampled', 'field', 'point', 'physiological', '\n', 'robinson', 'et', 'al', '.', 'genomic', 'regions', 'influencing', 'root', 'traits', 'barley', '11', '13', '\n', 'maturity', 'dried', 'grain', 'threshed', 'hand', 'stored', '20c', 'preserve', 'grain', 'dormancy', 'germination', 'testing', '.']",background,1.0
"['drug', 'reduces', 'catecholamine', 'secretion', 'reducing', 'stress', 'leading', 'modest', '1020', 'reduction', 'heart', 'rate', 'blood', 'pressure', 'particularly', 'beneficial', 'patients', 'cardiovascular', 'disease.7', 'unlike', 'midazolam', 'dexmedetomidine', 'affect', 'ventilatory', 'response', 'carbon', 'dioxide', '.']",background,1.0
"['clustering', 'lowly', 'aggressive', 'close', 'kin', 'king', '1989ab', 'viblanc', 'et', 'al', '.', '2010', 'arnaud', 'dobson', ' ', 'murie', '2012', 'breeding', 'females', 'decrease', 'timeenergy', 'cost', 'maintaining', 'territorial', 'boundaries', 'festabianchet', ' ', 'boag', '1982', 'murie', ' ', 'harris', '1988', 'ultimately', 'lead', 'increases', 'net', 'energy', 'income', 'ta', 'higher', 'allocations', 'somatic', 'reproductive', 'functions', '.']",background,1.0
"['ophthalmic', 'symptoms', 'rare', 'manifestations', 'intracranial', 'arachnoid', 'cyst', 'include', 'unilateral', 'exophthalmos', 'visual', 'field', 'abnormality', 'decreased', 'visual', 'acuity', 'isolated', 'palsies', 'fourth', 'sixth', 'cranial', 'nerves', '15', '.']",background,1.0
"['recent', 'studies', 'identified', 'wee1', 'potential', 'molecular', 'target', 'cancer', 'cells', 'selective', 'small', 'molecule', 'wee1inhibitor', 'mk1775', 'demonstrated', 'promising', 'results', 'cancer', 'cells', 'enhanced', 'levels', 'wee1', '9698', '.']",background,0.7286
"['problems', 'combine', 'early', 'diagnosis', 'essential', 'immediate', 'treatment', 'necessity', 'youngest', 'patients', '17', '18', '.']",background,0.7537
"['results', 'demonstrated', 'molecular', 'weight', 'gm', 'ratio', 'important', 'factors', 'controlling', 'antioxidant', 'properties', 'sodium', 'alginate', 'şen', '2011', '.']",background,1.0
"['recently', 'lightinduced', 'method', 'based', 'changes', 'surface', 'wettability', 'certain', 'materials', '12', 'developed', 'provides', 'amore', 'convenient', 'approach', 'cell', 'harvesting', '13', '.']",method,0.7435
"['currently', 'advances', 'radiotherapeutic', 'chemotherapeutic', 'surgical', 'techniques', 'limbsalvage', 'surgery', 'accepted', 'treatment', '29', '.']",background,0.7408
"['lifetimes', 'indirect', 'benefits', 'refer', 'benefits', 'genetically', 'related', 'recipients', 'i.e.', 'benefits', 'increase', 'inclusive', 'fitness', 'benefactors', 'typicaly', 'imply', 'fitness', 'costs', 'compensated', 'benefactors', 'lifetimes', 'hamilton', '1964', 'trivers', '1971', 'west', 'et', 'al', '.', '2007', '.']",background,1.0
"['doi', '10.7554elife.08828', '1', '27', '\n', 'mitochondrial', 'division', 'friedman', 'et', 'al', '.', '2011', 'korobova', 'et', 'al', '.', '2013', 'murley', 'et', 'al', '.', '2013', 'korobova', 'et', 'al', '.', '2014', '.']",background,0.7834
"['remnant', 'total', 'plasma', 'membranes', 'extraction', 'caveolae', 'called', 'bulk', 'plasma', 'membranes', '40', 'fig', '.']",background,1.0
"['active', 'contour', 'algorithm', '10', 'segment', 'organs', '340', 'coronal', 'slices', 'patients', '.']",method,0.8766060452990057
"['women', 'competing', 'caregiving', 'responsibilities', 'involves', 'allowing', 'accompanied', 'children', 'providing', 'onsite', 'childcare', 'offering', 'childcare', 'subsidies', '646879', '.']",background,0.7338
"['change', 'accelerates', 'mitochondrial', 'electron', 'transport', 'respiratory', 'chain', 'produces', 'influx', 'electrons', 'mitochondrial', 'matrix', 'turn', 'produces', 'ros', 'rns', '21', '23', '33', '64', '100', '101', '107118', '.']",background,1.0
"['highquality', 'evidence', 'effectiveness', 'manipulative', 'therapy', 'treatment', 'cr.81718', 'shistyle', 'cervical', 'manipulation', 'scm', 'commonly', 'treat', 'cr', 'china', '.']",background,0.7304
"['consistent', 'previous', 'reports', 'alkhodairy', 'et', 'al', '.', '1995', 'seufert', 'et', 'al', '.', '1995', 'tanaka', 'et', 'al', '.', '1999', 'biggins', 'et', 'al', '.', '2001', 'data', 'showed', 'smt3', 'ubc9', 'pivotal', 'functions', 'mitosis', '.']",result,0.7422
