string,label,label_confidence,sentiment,sentiment_word
"However, how frataxin interacts with the Fe-S cluster biosynthesis components remains unclear as direct one-to-one interactions with each component were reported (IscS [12,22], IscU/Isu1 [6,11,16] or ISD11/Isd11 [14,15]).",background,1.0,0.1,Positive
"The drug also reduces catecholamine secretion, thereby reducing stress and leading to a modest (10-20%) reduction in heart rate and blood pressure, which may be particularly beneficial in patients with cardiovascular disease.(7) Unlike midazolam, dexmedetomidine does not affect the ventilatory response to carbon dioxide.",background,1.0,0.13333333333333333,Positive
"By clustering with lowly aggressive close kin (King 1989a,b; Viblanc et al. 2010; Arnaud, Dobson & Murie 2012), breeding females may decrease the time/energy cost of maintaining territorial boundaries (Festa-Bianchet & Boag 1982; Murie & Harris 1988), which could ultimately lead to increases in net energy income (TA) or higher allocations in somatic or reproductive functions.",background,1.0,0.0625,Positive
"These problems combine to make early diagnosis essential and immediate treatment a necessity, even for the youngest patients [17, 18].",background,0.7537,0.05,Positive
"Also, results demonstrated that the molecular weight and G/M ratio were important factors in controlling the antioxidant properties of sodium alginate (Şen 2011).",background,1.0,0.4,Positive
"Recently, the light-induced method, which is based on the changes of surface wettability of certain materials [12], has been developed and provides amore convenient approach for cell harvesting [13].",method,0.7435,0.10476190476190476,Positive
"This change accelerates mitochondrial electron transport in the respiratory chain and produces more influx of electrons to the mitochondrial matrix, which in turn produces more ROS and RNS [21, 23, 33, 64, 100, 101, 107–118].",background,1.0,0.5,Positive
"Consistent with previous reports (al-Khodairy et al., 1995; Seufert et al., 1995; Tanaka et al., 1999; Biggins et al., 2001), our data showed that Smt3 and Ubc9 have pivotal functions during mitosis.",result,0.7422000000000001,0.19444444444444445,Positive
"Clinical reports of energetic stress in HCM hearts (14, 15) prompted us to measure mitochondrial respiration, mitochondrial copy number, ROS emission/scavenging, and calcium handling in these 2 HCM mouse models.",method,0.7742,0.5,Positive
These results are consistent with field observations of plasma electrolyte concentrations and thermal behaviour of the lizards Sauromalus hispidus and Uromastix acanthinurus (Grenot 1976; Smits 1984) and laboratory observations of S. hispidus (Smits et al. 1986).,result,,0.25,Positive
"Matricellular proteins are thought to contribute to the organization and biomechanical stability of
the ECM by modulating cell-matrix interactions and cell signaling rather than by serving directly as structural components (Bornstein et al., 2000).",background,0.7141000000000001,0.1,Positive
"The beneficial role of PBM as supportive modality in the management of postmastectomy lymphedema is well established based on strong evidence [15, 16] and recent data suggest its beneficial role concerning radiation-induced oral mucositis [17–20].",background,1.0,0.3111111111111111,Positive
"The language models were characterN-grams trained using texts from the Corpus of Spontaneous Japanese (CSJ) [23], which contains 12.",method,1.0,0.3,Positive
"Cisplatin has dramatically been used as the first line treatment for several types of solid tumors, such as breast, head and neck, ovarian, and lung cancers [17].",background,0.765,0.0625,Positive
"…is consistent with the currently-held notion that dsRNA targets the gene-specific destruction of mRNA in a wide variety of eukaryotic cells (Fire et al., 1998; Tabara et al., 1998; Tabara et al., 1999; Sanchez-Alvorado and Newmark, 1999; Grishok et al., 2000; Boscher and Labouesse, 2000;…",background,0.7189,0.075,Positive
"More examples of contradictory results have been observed in bovines; some reports (Zakhartchenko et al., 2001; Bhuiyan et al., 2004) indicated a significant decrease in blastocyst",result,0.7661,0.4375,Positive
"This is in keeping with the report of Blickstein et al,[3,15] which showed that the higher the combined twin birthweight the less likely it was to deliver discordant pairs.",result,0.7000000000000001,0.02777777777777778,Positive
"Existing applications of neural meanfield models to anesthesiainduced changes in spontaneous EEG rhythmsmostly focused on understanding the dynamical mechanisms underlying bi-phasic responses (Bojak and Liley, 2005; Hutt and Longtin, 2010; Steyn-Ross et al., 1999).",background,1.0,0.6,Positive
"In phytophagous arthropods, atranorin was reported to elicit a significant avoidance (Nimis and Skert 2006) or to reduce growth of insect larvae (Pöykkö et al. 2005; Slansky 1979) but no protective effect of atranorin was noticed in snails (Gauslaa 2005; Hesbacher et al. 1995).",background,1.0,0.375,Positive
"Following Carreras (2007) and Koo and Collins (2010), before training we transform the training set trees to be the best achievable within the model class (i.e., the closest projective tree or 1-Endpoint-Crossing tree).",method,,0.5,Positive
"The main distribution of 13-galactosidase-producing cells in tissues from the different lines is summarized in Table I in parallel with the evaluation of collagen VI expression products in control embryos at different locations (Marvulli et al., 1996).",background,1.0,0.041666666666666664,Positive
"The antioxidant BHT accumulates predominantly in the lung and induces alveolar epithelial damage because of its action on AEC1 (21), which is followed by the proliferation of pulmonary parenchymal cells resembling human UIP (20,22).",background,0.7263000000000001,0.05,Positive
"However, unlike Cochrane and Saa-Requejo (2000), the authors do not use a Sharpe ratio criterion to restrict the price interval for assets in incomplete markets, but a generalized version of the coherent risk measure first introduced by Artzner et al. (1999). Carr et al. (2001) argue that economic agents will not only invest in any arbitrage opportunity, but also invest in any acceptable opportunity.",method,0.6246,0.2375,Positive
"For example, elk may form smaller groups when exposed to wolf predation risk in relatively closed habitats (Creel & Winnie 2005), but form larger groups in open habitats where wolf densities are higher (Gower et al. 2009).",background,1.0,0.03,Positive
"While there have been remarkable developments in the last ten years [1–6], structuring large-scale visual data is still an active research area and any improvements would have wide applicability.",background,1.0,0.08611111111111112,Positive
"With regard to family fit, there is evidence that a minority of deaf couples would prefer to have deaf children and would consider using prenatal diagnosis to identify and terminate a hearing fetus (Middleton et al., 2001).",background,1.0,0.4,Positive
"reported that a temporary bite change occurs in most patients the morning after removal of the appliance, and permanent occlusal changes have been observed after longterm treatment with OAs in individual cases [19].",background,0.7346,0.25,Positive
Prolonged imbalance of systemic hemodynamics and insufficient postprandial sympathetic activation might cause PPH (Jansen and Lipsitz 1995; Umehara et al. 2014; Hirayama et al. 1993; Mathias 1991).,background,1.0,0.5,Positive
"…reflect early face processing mechanisms related to the structural encoding of faces (Bentin and Deouell, 2000; Bentin et al., 1996; Eimer, 2000a; Holmes et al., 2003) and has been found to be insensitive to changes in facial expression (Eimer et al., 2003; Holmes et al., 2003) or familiarity…",background,0.7525000000000001,0.03333333333333333,Positive
"All femurs were fractured by simulating a fall on the greater trochantor in a modified Hayes-fall configuration (Courtney et al., 1995).",method,,0.5,Positive
