string,label,label_confidence,length
"These problems combine to make early diagnosis essential and immediate treatment a necessity, even for the youngest patients [17, 18].",background,0.7537,Short
"Also, results demonstrated that the molecular weight and G/M ratio were important factors in controlling the antioxidant properties of sodium alginate (Şen 2011).",background,1.0,Short
"Currently, with advances in radiotherapeutic, chemotherapeutic, and surgical techniques, limb-salvage surgery has become an accepted treatment [2–9].",background,0.7408,Short
"DOI: 10.7554/eLife.08828 1 of 27
mitochondrial division (Friedman et al., 2011; Korobova et al., 2013; Murley et al., 2013; Korobova et al., 2014).",background,0.7834,Short
The remnant of the total plasma membranes after extraction of caveolae is called bulk plasma membranes (40) (Fig.,background,1.0,Short
We used an active contour algorithm [10] to segment the organs from 340 coronal slices over the two patients.,method,,Short
"Scp160p has already been implicated in one such network, the SESA (SMY2/EAP1/SCP160/ASC1) network, in the function of a translational activator (11,25).",background,1.0,Short
"4 lead to a decrease in SC absorption in mice (Deng et al., 2010; Deng et al., 2012).",background,1.0,Short
"found that SNPs of MMP-1 were linked to an increased risk of colorectal cancer [12,13].",background,1.0,Short
"The language models were characterN-grams trained using texts from the Corpus of Spontaneous Japanese (CSJ) [23], which contains 12.",method,1.0,Short
"Cisplatin has dramatically been used as the first line treatment for several types of solid tumors, such as breast, head and neck, ovarian, and lung cancers [17].",background,0.765,Short
Spermatogonial transplantation was performed and recipients were prepared as described previously [7].,method,0.6036,Short
", 2008), and Srebp1/2 are known to interact with Hmgb1/2; their activity has been reported to be enhanced by Hmgb1 (Najima et al., 2005).",background,1.0,Short
", 2010), and retromer tubule formation is reported to be maximal at the time of Rab5-to-Rab7 conversion (Cullen and Korswagen, 2012; van Weering et al., 2012).",background,1.0,Short
"A serotype-shift occurred over the years with a predominance of DENV-1in 2010, DENV-2 in 2013 and again DENV-1 in 2016 [25].",background,1.0,Short
"A series of genes (termed exo) involved in succinoglycan biosynthesis have been cloned and sequenced (10, 11, 12, 67, 68, 103, 113).",background,1.0,Short
Neurodevelopmental outcome was assessed at 24 months using the Revised Griffith‚Äôs scales of Mental Development [24].,method,,Short
2000) and in skeletal muscle denervated by transection of the sciatic nerve (Baumeister et al. 1997; Tsukamoto et al. 2002).,background,1.0,Short
"rural, we calculated the relative prevalence of a missing value by other demographic and fitness variables using logistic regression [49].",method,,Short
Other mutations in the sgl locus were identi®ed as demonstrating a cuticle phenotype similar to that of wingless (wg) mutants (HaÈ cker et al. 1997; Haerry et al. 1997).,background,0.6161,Short
"All femurs were fractured by simulating a fall on the greater trochantor in a modified Hayes-fall configuration (Courtney et al., 1995).",method,,Short
These results are consistent with findings that there is a selective migration of stimulated lymphocytes to specific effector sites of the mucosal immune system (31).,result,,Short
"For example, the second version of the Microsoft Kinect (Kinect V2) is one of the most low-cost and high-speed Time-of-Flight (ToF) sensors in the market [3].",background,1.0,Short
[8] investigated the thermal decomposition processes of 10 types of natural fibres commonly used in the polymer composite industry.,background,1.0,Short
This conclusion is consistent with the results and conclusions of Fu et al. (2002) who allowed N-22 patients 3 mo to adapt to an octave shift.,result,,Short
"Another clinically important feature is the length of the MBs, sometimes referred as the width (Mohlenkamp et al. 2002; Ozbag et al. 2002; Ozbag and Kervancioglu 2004).",background,1.0,Short
"Straight lines on these semi-log plots are indicative of exponential distributions [4,36].",background,1.0,Short
The Extended Yale B [14] dataset contains frontal face images of 38 individuals each under 64 different illumination conditions.,method,,Short
"2003; Maier 2003), but such capability was rarely reported for cold-adapted isolates (Yakimov et al. 1999; Pini et al. 2007; Cai et al. 2014).",background,1.0,Short
Early-fruit removal in cotton has been used to study plant recovery potential and source-sink relation (Dong et al. 2008b).,background,0.7373000000000001,Short
"• Even more efficient pure TSP heuristics such as the Lin-Kernighan heuristic (LKH) (Lin and Kernighan, 1973), using the LKH implementation (Helsgaun, 2000, http://www.",method,1.0,Short
topology: a package for performing structural analysis – the current version contains the reporter metabolites algorithm of Patil & Nielsen [22].,method,0.7477,Short
"Previous work revealed that Dusp6 mutant mice exhibit increased pERK and Erm expression, skeletal dwarfism, craniosynostosis, and hearing loss [21].",background,1.0,Short
pro-hypertrophic effector mechanisms regulated by GATA4 is ANP [14] which is in turn suppressed by sorafenib treatment.,background,0.6044,Short
The most common reported mechanisms are CSF and hematogenous dissemination [3].,background,1.0,Short
"Quinolinic acid (Sigma, St. Louis) was used to lesion the hippocampal formation and caudate nucleus (Schwartz et al., 1983) as described (Worley et al., 1986a).",method,1.0,Short
", in the massive MIMO regime, the channel becomes (nearly) deterministic and the effect of smallscale fading is averaged out [8].",method,,Short
[46] reported improved model performance to predict the presence of prairie fish species if information on reach and catchment scale are combined.,method,1.0,Short
Flow cytometry Flow cytometric analyses were performed on dissociated embryonic pancreatic cells from MIP-GFP mice using FACSAria II (BD Biosciences) (see ESM Methods).,method,,Short
"Synchronization is the most commonly-used method [1], [2], [3] to eliminate atomicity violations, which is an important class of concurrency errors [34].",method,0.6124,Short
"Assigning economic values to an environmental function or ecological service has been widely debated, with researchers employing a variety of methodologies [9–11].",background,0.7539,Short
We reviewed the radiology reports of two subsets of patients: those undergoing CT thorax (pulmonary embolism [PE] protocol) and those undergoing cervical spine CT.,method,,Short
"We evaluate our method on two collective activity datasets from [6,7] and a newly recorded dataset collected by ourselves.",method,0.6116,Short
"In this study, the unstimulated flow rate was significantly higher in the asymptomatic group; 0.17, when compared with 0.11 in the symptomatic ⁄AIDS group (P = 0.003).",result,,Short
5 m plastic boards and were distributed in the field to be used as GCPs for UAS-based image processing [29].,method,,Short
"For the classical ones including DOME and SAFE rules, we used one-shot screening, while for the others, we used a sequential screening setting.",method,,Short
The diagnosis of cirrhosis was made based on imaging studies and impaired liver synthetic function [10].,method,,Short
"This may demonstrate retroperitoneal air as streaking opacities in the right upper quadrant and outlining the kidney margins and along the psoas muscle [17, 23, 25].",background,1.0,Short
"Mouse IgG 30 lg/ml final concentration was added as control (Schmid et al., 2000; Tang et al., 2006; Yeaney et al., 2009).",method,,Short
"c-IAP2, which has been functionally implicated in the inhibition of TNF-mediated death, is transcriptionally regulated by NF-kB (40).",background,1.0,Short
"Since the first ON1 location in Ontario [Eshaghi et al., 2012], geographical dispersion has been reported worldwide [Choudhary et al.",background,1.0,Short
"We concentrate here on the computational issues, extending the Static Sensor Field model (SSSF) [2], to scenarios in which dynamicity is of relevance.",background,0.7621,Short
"This translocation event is independent of the HBV nucleocapsid and can be subsequently detected on secreted virions and SVP (5, 24).",background,1.0,Short
"Prominent within the HBC are the balls – events in which the houses come together to compete in various categories for cash prizes and ‘ball status’ (Galindo, 2013).",background,1.0,Short
This prolongs the circulation time and potential for interaction of the antigen with APCs and may reduce the need for multiple vaccinations [3].,background,0.7552,Short
The original architecture proposed in [5] has been improved in [6] by rearranging the detection method (DM) in a modular fashion and by reducing the control management.,method,0.7827000000000001,Short
The three-sigma signal is triggered when any data point is further than 3 standard deviations away from the overall process average [11].,background,1.0,Short
Some approaches address the cause of aligning both classes and entities simultaneously: the RiMOM [66] and iliads [98] systems.,method,,Short
Amplified neural activity was connected to an analog-to-digital converter (Cambridge Electronic Design) and passed through an integrator circuit (Shimatani et al. 2002).,method,,Short
The TNM staging of the GBC tumors was assessed according to the American Joint Committee on Cancer (AJCC) guidelines [6].,method,,Short
"It is also offering a wealth of new approaches such as emitters [3, 4] and sensors [5-7] in terms of THz applications.",background,1.0,Short
"It conditions resistance to penicillin, cefotaxime, ceftazidime and aztreonam, and its activity is well inhibited by clavulanic acid, sulbactam and tazobactam [7, 8].",background,1.0,Short
"I estimate a vector autoregression (VAR) that includes the policy uncertainty index created by Baker, Bloom, and Davis (2012).",background,0.7242000000000001,Short
"Adherence to the healthy Nordic diet was measured, calculating the Baltic Sea Diet Score (BSDS) [13].",method,1.0,Short
(13) indicated that the segmental BI analysis could be applicable to the estimation of trunk SM volume.,background,1.0,Short
UBC13 (UBE2N) was also identified to interact with RNF168 (Doil et al. 2009).,background,1.0,Short
